"taxa","PC1","PC2","PC3","PC4","PC5","v1","v2","v3","v4"
"V1",-309.863861045003,173.984088452231,-156.472892321918,32.2028932478585,-28.6147707876274,1,0,0,0
"V4",-355.202699963509,196.918060092412,-252.161674245675,75.8798725139,-176.00055903354,1,0,0,0
"V5",-316.782475531264,172.421347826412,-192.332235551922,25.8516683686902,-26.0652510225491,1,0,0,0
"V6",-285.294853361572,219.0558140853,-193.296818369372,77.2294002084782,-92.3664942861829,1,0,0,0
"V7",-146.832461456885,344.288289741433,138.825255525172,15.0225859473063,149.184128091008,1,0,0,0
"V8",-310.209310430677,173.81675010735,-156.389822701595,32.1955827850833,-28.6705357517346,1,0,0,0
"V9",-357.408227427339,170.197171473431,-174.207432056361,64.8896259758166,-23.139701790502,1,0,0,0
"V10",-328.190432104813,176.95322012433,-66.4703872008121,49.7465667963181,57.0424278911695,1,0,0,0
"V11",-333.732339533809,205.172368276368,-274.500130328549,59.3351851153062,-231.21753660938,1,0,0,0
"V12",-222.072048276511,215.697942500568,-7.92564164877102,-49.1118977349828,3.18967211398442,1,0,0,0
"V13",-336.887712389794,215.005803798532,-196.610068491023,70.1815698322288,-170.968107382106,1,0,0,0
"V14",-223.643061444486,258.793636314057,76.8500917455535,51.2455079425388,76.7436419676762,1,0,0,0
"V15",-348.902901264706,163.873238964336,-173.188648017482,63.2720318522899,-16.7465508848719,1,0,0,0
"V16",-309.33978417654,182.198226995093,-33.3099241320809,82.7337976619916,107.611759005081,1,0,0,0
"V17",-337.810691388925,235.778589533683,-262.547121330934,72.7069211459338,-224.595117669882,1,0,0,0
"V18",-229.942548858627,236.636952035146,93.2745019701676,6.57928419317704,190.48002572001,1,0,0,0
"V19",-337.948449295688,200.333793708184,-104.843883800517,13.6070330039555,10.4873120604523,1,0,0,0
"V20",-273.540303958743,260.622233982562,56.89555325182,58.751074399991,248.225290003042,1,0,0,0
"V21",-222.096538750258,290.212233726243,88.2421228780498,-0.496212506711485,227.187830672022,1,0,0,0
